,train_loss,test_loss,perplexity
0,2.862954048549428,3.934788703918457,
1,2.1044073315227734,3.868319034576416,
2,2.0157495246214023,3.8987417221069336,
3,1.9816755126504337,3.8084763288497925,
4,1.9627433384166044,3.8917282819747925,
5,1.9609060638091143,3.797364830970764,
6,1.9407593923456528,3.8131415843963623,
7,1.9198702223160689,3.8036324977874756,
8,1.9038402262855978,3.8372061252593994,
9,1.889623480684617,3.790290355682373,
10,1.8579102474100448,3.729385256767273,
11,1.8209072000840132,3.756202220916748,
12,1.7801890092737533,3.742110848426819,
13,1.7448729206533993,3.7712749242782593,
14,1.6993543961468864,3.783121943473816,
15,1.660002680385814,3.7852814197540283,
16,1.630450445062974,3.8055721521377563,
17,1.5833173639634077,3.8275935649871826,
18,1.542326758889591,3.840625047683716,
19,1.5006582666845882,3.862668037414551,
20,1.4564458622651941,3.9480475187301636,
21,1.4224149339339311,3.9088815450668335,
22,1.3660178955863505,4.024857521057129,
23,1.3235461431391098,4.098858594894409,
24,1.271337074391982,4.128308892250061,
25,1.2241190812167,4.1834694147109985,
26,1.1668761267381556,4.384503364562988,
27,1.1369433017338024,4.494804382324219,
28,1.101468801498413,4.408562183380127,
29,1.0172152904903187,4.579537630081177,
30,0.9999989341287052,4.728733062744141,
31,0.9536053923999562,4.8242878913879395,
32,0.9120773427626666,4.713752269744873,
33,0.8560404602219077,4.913376331329346,
34,0.8099840248332304,5.336226463317871,
35,0.7714353694635279,5.155019998550415,
36,0.7133417690501493,5.240106105804443,
37,0.6654314959750456,5.481653928756714,
38,0.6153707364026237,5.575286388397217,
39,0.5749868803164538,5.732312917709351,
40,0.5376482886426589,5.793408393859863,
41,0.5144402121796328,5.742697477340698,
42,0.4822067215162165,5.968266248703003,
43,0.5023911262259764,5.855884313583374,
44,0.4748890995979309,5.980018854141235,
45,0.41133638164576364,6.172399044036865,
46,0.37082482436124015,6.27339506149292,
47,0.3368011467597064,6.402116060256958,
48,0.3115317225456238,6.394292593002319,
49,0.3006653294843786,6.584749221801758,
50,0.28016535499516654,6.712741851806641,
51,0.26138171290650086,6.638946771621704,
52,0.23732718562378602,6.761153936386108,
53,0.22335638719446518,6.84592866897583,
54,0.20667358005748077,6.875122547149658,
55,0.18790609696332147,7.006673812866211,
56,0.17241530733949997,6.97338080406189,
57,0.1575366784544552,7.0215795040130615,
58,0.1426195410244605,7.078064203262329,
59,0.1327513189000242,7.059854507446289,
60,0.11555053644320544,7.211378335952759,
61,0.10160884874708512,7.229685068130493,
62,0.09694900188375921,7.292759656906128,
63,0.09278686344623566,7.324969530105591,
64,0.08498034713899388,7.380907773971558,
65,0.08381296738105662,7.381966829299927,
66,0.08966567739844322,7.356301307678223,
67,0.08846013598582324,7.36397910118103,
68,0.0836882323903196,7.4506237506866455,
69,0.07401735335588455,7.542564153671265,
70,0.0645433052936021,7.536040306091309,
71,0.05718026364989141,7.5128655433654785,
72,0.049923514180323654,7.540477514266968,
73,0.04694645490278216,7.644940137863159,
74,0.04387288814520135,7.791269540786743,
75,0.04055904125904336,7.756672620773315,
76,0.03911596427068991,7.7742204666137695,
77,0.034713097409728694,7.897115230560303,
78,0.03312735779977897,7.783166408538818,
79,0.03051163667045972,7.827674865722656,
80,0.03150175024262246,7.808942556381226,
81,0.031074286657659447,7.884161710739136,
82,0.0296772705281482,7.877813339233398,
83,0.026474879451972598,7.8247971534729,
84,0.025371727259720072,7.936545372009277,
85,0.028123809928622318,7.873175144195557,
86,0.023653504493481973,7.896885871887207,
87,0.025456561049556032,8.064067602157593,
88,0.022302145631436038,7.882038354873657,
89,0.018840158769093892,7.9550817012786865,
90,0.021933919394060093,7.951203107833862,
91,0.01872723419493174,7.967661619186401,
92,0.01905659954611431,8.004026412963867,
93,0.01953558956601602,7.976604223251343,
94,0.01951094585306504,8.035661697387695,
95,0.019950859330813673,8.155770540237427,
96,0.020555653034106773,8.024074077606201,
97,0.022425712579313445,8.060383796691895,
98,0.020941137390978196,7.987030267715454,
99,0.019097301150288654,8.102336168289185,7552.422608204207
